pair_gender,pair_race,FA_gender,LA_gender,FA_race,LA_race,JIF,year,num_citations,log_num_citations,citation_rate,log_citation_rate,WC,num_cited_refs,WC_1st,Country,global_north,article_id
WM,WW,W,M,W,W,44,2000,32,3.4657359027997265,1.3333333333333333,0.28768207245178085,Multidisciplinary Sciences,47,Multidisciplinary Sciences,usa,1,44303
WW,WW,W,W,W,W,14,2000,6,1.791759469228055,0.25,-1.3862943611198906,Biochemistry & Molecular Biology; Microbiology,45,Biochemistry & Molecular Biology,usa,1,77607
MM,WW,M,M,W,W,50,2000,11,2.3978952727983707,0.4583333333333333,-0.7801585575495751,Multidisciplinary Sciences,42,Multidisciplinary Sciences,usa,1,21848
MW,WW,M,W,W,W,3,2000,42,3.737669618283368,1.75,0.5596157879354227,Ecology,112,Ecology,usa,1,70026
MM,WW,M,M,W,W,2,1999,49,3.8918202981106265,1.96,0.6729444732424258,"Computer Science, Hardware & Architecture; Computer Science, Information Systems; Computer Science, Software Engineering; Computer Science, Theory & Methods",58,"Computer Science, Hardware & Architecture",usa,1,17856
MM,WW,M,M,W,W,3,2000,8,2.0794415416798357,0.3333333333333333,-1.0986122886681098,Biology; Ecology; Evolutionary Biology,35,Biology,united kingdom (great britain),1,48146
MW,WW,M,W,W,W,50,2000,9,2.1972245773362196,0.375,-0.9808292530117262,Multidisciplinary Sciences,48,Multidisciplinary Sciences,united kingdom (great britain),1,36198
MM,WW,M,M,W,W,4,2000,7,1.9459101490553132,0.2916666666666667,-1.2321436812926323,Ecology,35,Ecology,usa,1,72215
WM,WW,W,M,W,W,7,2000,6,1.791759469228055,0.25,-1.3862943611198906,Veterinary Sciences,41,Veterinary Sciences,new zealand,1,15986
MM,WW,M,M,W,W,5,2000,27,3.295836866004329,1.125,0.11778303565638346,Economics,32,Economics,usa,1,33023
MM,WW,M,M,W,W,8,1999,9,2.1972245773362196,0.36,-1.0216512475319814,"Public, Environmental & Occupational Health",48,"Public, Environmental & Occupational Health",usa,1,91627
MW,NW,M,W,N,W,44,2000,7,1.9459101490553132,0.2916666666666667,-1.2321436812926323,Multidisciplinary Sciences,38,Multidisciplinary Sciences,argentina,0,77548
MM,WW,M,M,W,W,1,2000,11,2.3978952727983707,0.4583333333333333,-0.7801585575495751,Biology; Mathematical & Computational Biology,26,Biology,new zealand,1,42944
WM,WW,W,M,W,W,3,1999,6,1.791759469228055,0.24,-1.4271163556401458,Statistics & Probability,97,Statistics & Probability,usa,1,48094
MM,WW,M,M,W,W,96,2000,28,3.332204510175204,1.1666666666666667,0.15415067982725836,"Medicine, General & Internal",50,"Medicine, General & Internal",usa,1,70437
WM,WN,W,M,W,N,8,2000,10,2.302585092994046,0.4166666666666667,-0.8754687373538999,"Physics, Multidisciplinary",17,"Physics, Multidisciplinary",denmark,1,71125
WM,WW,W,M,W,W,44,2000,8,2.0794415416798357,0.3333333333333333,-1.0986122886681098,Multidisciplinary Sciences,50,Multidisciplinary Sciences,italy,1,158489
MM,WN,M,M,W,N,1,2000,13,2.5649493574615367,0.5416666666666666,-0.6131044728864089,Parasitology,18,Parasitology,hungary,1,76982
MM,WW,M,M,W,W,50,2000,7,1.9459101490553132,0.2916666666666667,-1.2321436812926323,Multidisciplinary Sciences,30,Multidisciplinary Sciences,canada,1,22781
